text,label
"Still remember the conference on pressure performance leading the best, worst average case scenarios. Too less or too much with both have a negative impact which remains universally true for anything ! From anxiety to stress, too less, you'd rather be a couch potato missout the deadlines , exams regret late, too much pressure, you aren't about to turn into a diamond if no one told you so ! People get a kick from pressure, stress anxiety until it's healthy and don't lead to self harm ! It's also true for smoking drinking, drug abuse alcohol. Too much will destroy you! completely sober is'nt everyone's cup of tea who are you kidding, everyone deserves a little fun in life ! Also true for work life management achieving the perfect balance increasing productivity, efficiency boosting creativity innovation ! Too much art could cause burnouts, too much dancing makes your body stiff tou loose the fun element ! It's universally true for most, exceptions remain who can handle it well or get a kick from it. I count myself out of those exceptions !",Medium
Bro how was the exams ?,Medium
So sorry for your losses. So much stress!,High
I think the most effective way to get out of yourself or even anxiety won't even come closer to you is that you help others and do good deeds honestly that will make you so much happy and credible personality and people will love you and also the tongue the sweeter tongue you have the more you get away from anxiety,High
"I... I can't imagine how much this has helped me. It's just what I needed. I've been suffering from anxiety, resulting to self destructing negative thoughts. But this helped me understand my anxiety, why it's happening and how to think of it in a positive way... And I hope everyone can deal with their problems in life too.",High
"@kmz8957  Do you feel tired? Depressed? Perhaps suicidal. If so you are not alone(Hundreds of Millions suffer worldwide) ; God is standing right next to you waiting for you to ask for help. Give Jesus a chance and watch your life flip for the better and you will be set free.

Matthew 11: . 28Come to Me, all you who labor and are heavy laden, and I will give you rest. 29Take My yoke upon you and learn from Me, for I am [f]gentle and lowly in heart, and you will find rest for your souls. 30For My yoke is easy and My burden is light.”",High
Well at least there is summer school,Medium
"I've found the opposite to be true. If I increase my number of active challenges and actually do them otherwise it's just more stuff I haven't done, then I end up with less time and energy for the passive challenges. Things that slip over to the next day multiple times, then it's a few weeks of months later when I get back to them and then they're a bigger challenge and things get worse. Here are two things I've done to feel less overwhelmed in general. Firstly, turning passive challenges into active challenges. This sounds weird and possibly something that you can't really do at first, so here's an example turning billsexpenses coming at you into I want to be financially organised. Having a bill come in and being stressed about it and it feeling like my money is being drained away is a nasty feeling. However, having a good idea of what my incomes and outgoings are means that bills are an expected part of a system I have mapped out and there are very few surprises a.k.a. things out of my control. The second thing has been to take any task I have to do that feels insurmountable and break it into several chunks that can be done independently. Any task that can be done in one action isn't the kind to make me feel overwhelmed, it's usually a multi step process with a moderatehigh amount of uncertainty. Let's take another example, I want my home to be clean and tidy. Doing that in one go is overwhelming and realistically will result in failure. However, if I break it down into tidyingcleaningdustingetc. and do it per room, each chunk is much more manageable. Sure, I've now got a lot more things to do, but individually they're not that scary and I can do a small bit each day to progress it. It requires being consistent and trusting the process, but making a problem a little bit smaller each time really helps. Again there's an aspect of passive active here, as I've redefined the problem into something that's my choice and I'm now in control of how that gets done.",Medium
"Hey abao! I just want to thank you for doing this kind of video, because it inspires me to study well and it feels like I'm not alone while studying. So Thank you.",Low
"Some reasonable thoughts; But you want to look for real, underlying causes of the anxiety although when I say real bio-chemistry is real. We also must avoid shunning chronic cases as some how frivolous or untouchable; it is often the shepherds who are failing; not the sheep.",High
"I don’t tell anyone how depressed I feel, which is 90% of the time. The other 10% of the time I feel suicidal. Yet I am still here.",High
I was studying Physics and I feel so relaxed thanks to u I rly want to thank u,Low
Follow me to konw more about stress and how to manage it,Medium
"I was burnt out from a job I had. I worked there for 8 years. It got toxic when my boss hired another employee small office she created more work for me. when I talked to him about it and he recognized the issues but wouldn't do anything about them. This caused me so much stress. I already struggled with depression and trying to not go back on meds. I would go to the gym after work and then go home and lay in bed until I passed out. I didn't sleep well and would wake up and still feel like I needed to sleep more even though I got like 8hrs if not more of sleep. I started looking for another job but wasn't finding one for over a year. After leaving that job it took me 2 years to feel better. Things in my personal life were going so much better than before so I was feeling great on the weekends but at work, the dread of being overworked and feeling frustrated and not appreciated was making me angry on top of feeling depressed at work. The work itself was fine, I loved what I did I'm a designer but my boss kept taking away things I loved doing and giving me responsibilities I hated doing and I told him that but he didn't want to do the things he was giving me and I was the employee so I had to do them, then having to always fix my coworkers work was so frustrating too. Things weren't like that before her and for some reason my boss let her walk all over him. She was older than us and he said, well I was raised to respect my elders she was our parent's age I said, ya me too but you're still the boss, you're in charge, not her. He just never put his foot down with her, I suggested he give her her own work to fix and he would on occasion but most of the time he'd just give it to me and I already had enough to do on a regular basis. She was slower at doing things so he was like, just fix it, I need it fast. This constant interruption made it hard to do my job, I had to mentally flip between things all the time and I would lose the image in my head I was trying to create and for an artist, this is the worst thing you can do to them. You can't always get the image back and then what you create turns out differently than you originally imagined it, oh so frustrating. He wasn't an artist so he didn't get that. The technical stuff he did in the office was something you could put down and pick up anytime but our work wasn't like that. His interrupting me to fix her stuff made me more inefficient and frustrated. Anyway, ya 2 years to recover from my burnout feeling. I had been in toxic work environments before this job but I never felt burnt out, it didn't affect how I felt on the weekends or at night but this job did. The only reason I felt ok the last year I was there was that I met my husband and we'd spend weekends together since we lived an hour away and traffic in our area was horrendous bay area...he kept me sain for that year but after leaving I can't believe how long it took for me to feel like myself again.",Medium
"Hi. Just want to say I saved this on my playlist not for studying but to be productive at work. I believe it worked. Every 5 min break, I get up from seat, walk around the office, made myself coffee, washed dishes, fed stray cats outside, etc then came back and continued my work. I didn't get sleepy, I didn't get bored. It prevented me from wasting time scrolling videos, getting distracted. I got a lot of work done today. Will do it again tomorrow. Thanks for this. Truly.",Low
"Be Able to avoid anxiety, You should try something badly the first time, So you can start to do it . To try more to help others, It helps you to realize what is the worth of your life",High
I love it is sooo relaxing,Low
"i wont say any quote because who cares but i wanna talk about my ,,depression"" or just how it is

i wont say what causes my thoughts because its too much to read but tl;dr my early childhood made me grow with all of this

i dont think i have depression, im not sure, i have suicide thoughts often but only a few serious in my entire life, most of them make me consider my life or things that happened recently and it just goes away only to comeback hours later or day

what really changes my overall mood is money, im poor, so when we have money for a few weeks its fine, but then 1 week is worse and so my mood

i have almost all sympthomes included in video but i feel that my way of thinking changes a lot in this

i overthink everything, which is tiring but i dont think i have ADHD either, its just weird and twisted, i cant understand myself most of the time

i know noone will see this and that's probably why i even said all of it",High
"i really needed that, thank you.",Low
"He is bigger than panic, worry , and fear",High
Thanks! You are so sweet,Low
Makes me anxious talking about anxiety,High
"This may actually explain what people are calling pathological demand avoidance PDA in autism. I fit that profile but I dislike the term PDA and dont see it as a helpful or productive explanation for my reactions. I like this explanation much better I have stress from other people putting things in front of me, and even a task Im already doing and enjoying becomes overwhelming if its suddenly necessary or someone is hovering over me. If I think about active or passive, I may be able to consciously shift how I think about individual tasks.",Medium
"People say they would like to live in Japan but... The truth is that it's only good for tourists. It has sunny days, Sakura flowers, beautiful nature and nice technology, but the society there is like a grey sky with unstoppable rain. They force themselves to work hard too much + prejudice and stuff like that...",Low
"Depression, anxiety, diabetes, narcissist, being gaslit, feeling worthless and not good enough, having low testerone, thyroid problems, not being able to exercise because of the weather and depression, eating too much junk food, drinking to many sodas is slowly but surely killing me.",High
"I suffer from anxiety for year. I am in trauma therapy for a year and half and I do take medication to help ""take the edge off."" But since my last huge panic attack that happened in night time. I am continually reminded of that when every night. It has gotten way better since I started therapy but everyday just sucks feeling that you are the only one suffering from this. I really appreciate everyone sharing their thoughts. Thank you.",High
"A huge thing with anxiety as well is that it can be caused by other mental disorders. I struggle with both anxiety and depression but also ADHD as well. I have been starting to see that a simple thing as finding a cause of, even if just a small one, what sparks a portion of your anxiety can really help a lot. I came to discover that a lot of my ADHD symptoms were in effect causing my anxiety and depression to spike as a result too. Coming to find out about and an even bigger thing being understanding why your anxiety is being caused, can give a lot of help in learning how to manage it bit by bit even if it isn't much. thus learning over time how to cope with it more and understand more aspects of it you didn't know",High
reminder to look deeper when it comes to people's mental health. can't always trust what you see on the surface.,High
I've had a girl dump me because I was depressed. I still am depressed,High
I’ve had two panic attacks or anxiety attacks  in 2 months  April at work and today in may luckily I’m seeing my therapist in the coming week,High
I only have afterexam anxiety,Medium
"When I decided what subject to study at university, I was very depressed. My foster dad wanted me out of the house and I enrolled, but not due to interest in the field. I took me ages to finnish, but got my Bachelor's with good grades. I then pursued a master's degree cause I wanted to make my foster dad proud showing I could finnish in time this time AND because I did not feel like I wanted to enter that field of work delaying it. My foster dad died at the time I started writing the master's thesis i was 6 months ahead of the uni's study plan, which I did not finnish, ultimately. I had very good grades at that point, but my whole motivation was suddenly gone and I felt very tired. Now I don't work in that field I invested so much into, am burnt out 20h peer week of work, have been diagnosed with ADHD in my 30s, have to pay student loan back and had my 1st and 2nd nervous breakdown. I isolated myself due to shame 10y ago and can't seem to change anything about this pressing matter cause isolation eats me. I made huge progress in the past 4y, but it's hard to see it, sometimes. I know that things could be worse and that I can still live a nice life, but my body keeps sabotaging me, now despite being athletic and fit. I'm afraid of an early heart attack, yep. ps English is not my 1st language.",Medium
Thank you so much! I love this video :),Low
This is very insightfull! My experience is that burnout also often comes from not getting to do what you are passionate about. I'd love to make optimized systems in some low level coding language and instead I have to do MS PowerApps and Power Automate... It is so damn boring,Medium
"This was an AMAZING video. It perfectly explained anxiety, and also opened my eyes as to how to view it. Thank you to the speaker",High
Hi baby how are you doing now i hope you are really doing good you are awesome looking at you baby makes happy when I look at your picture it is beyond my imagination that a creature like you really exist like a rose you make the garden so beautiful You are a diamond to any man that have eyes to see goodness of a womanhood Baby am Ben easy going person very understandable Am a civil engineer and a contractor I work at so many places like Asia Europe and Africa I love art craft and I write music I like ideal people when I see your picture am impress I want a good woman that understand what real love is all about who will understand me and perfectly be for me So we can build our world strong enough to care for each other I want you to be mine and I hope to hear from you soonest thanks,Low
"For years I lived with panic, with fear, with anxiety, with fear of dying suddenly, however the solution was so simple, that today I can tell you; If you are going through the same thing, do not fear that nothing will happen, I have practiced many techniques that I know will definitely help you!!",High
"Si tan solo pudiese hacer mis tareas asi, con tranquilidad",Low
i never get exam anxiety.,Medium
"Other people have this feature, why don't we have this feature I'm not a dev but in my company we don't have IT and have a third party dev we work with, so accounting gets stuck in kind of an opsproject management role and we have to lead integrations. I blame the idiots talking about what other people have. I don't care what other people have I have no idea the context or resources they have i have no idea how well it's actually working for them. It's constant and infuriating. Take your sweet time working on a project.",Medium
"That's weird people can't. tell, when I have panic attacks, I know what it is. It feels like I'm dying, I can't breathe and I start panicking. or I panic starting the attack. Since I first started having them, I felt the sudden attack of panic.",High
i had a panic atack at school yesterday i coukdnt breath my head was getting heavy i couldnt stand up normally i tried to hide it but my teatcher saw me i also started crying every one thought i was overreacting but i wassnt,High
@elinfiernogris ​came and experience 100%natural rainfall thunder sound.thank you,Low
"I love how he describes anxiety as the crew of a ship, not the storm. That shift changes everything. Our emotions aren’t trying to sink us; they’re just trying to steer us toward safety and meaning. Listening, not fighting, is where healing begins.",High
What a breathtaking view... Thank you!,Low
I've definitely have had panic attacks. I felt like i was gonna run out of breath and so much pain in my whole body not just my chest. I didn't even realize I was crying or that I was sitting in the bathroom floor until it was over. I am definitely scared of having more and lately they have been happening more frequently. Just learning to deal with them little by little.,High
"I don't know how to get better, I'm lonely, depressed and failed my life, well done you got better and did it and successfully",High
it really helped me calm my anxiety,Low
"I’ve been experiencing extreme anxiety attacks every evening for the past 10 days. I can’t live like this anymore and I worry it’s never going to get better. I feel ashamed every time I take my clonazepam so I tend not to use it, which I’m sure is contributing to the cycle. I don’t want to have this anxiety anymore. Will this ever go away?",High
Dr. Ks Videos are about to fix all my Problems long years of therapy couldnt I allways wondered why I have to perform my household choreography before being able to think. I feel quickly visually and sensory overwhelmed and have huge difficulties to use transportation or drive. But when I listen to my standard driving mixtape and sing in the same time Im able to drive ways that I know by heart without panicking. This is so weird does anybody know thse kind of problems?,Medium
My stress is because . Family problems . Study problems . Rude teachers I just want to suicide,Medium
"For decades, depression was a uniquely western phenomenon. The ones with money can afford to be depressed.",High
"When I have my anxiety outbursts its a release of emotions. I will hold everything in for days, it builds up then it explodes into one moment. I'm good for a few days then it starts all over.

When he says anxiety is an emotion, I agree %, life experience here.",High
"My dream is to be in a place such as wonderful as the ones you're showing us in your videos, Abao. Thank you for making this content, it helps me a lot :)",Low
"no negativity, no sadness, no depression, just straight vibing happiness, i hope everyone who reads this will have a wonderful day, life is so amazing if you let it be",Low
Thanks that was actually really nice to read,Low
I experienced it. But i didn't know it was panic attack while i was sleeping. And it's due to my family,High
"Hi I dont really know myself, and I just want to be okay,  Im 17 and i grew up in a lovely house with an amazing mom and my dad who was absent at times but still supportive. I literally have no hobbies and im afraid to face reality, i get random panic attacks, so i distract myself and scroll on social media for hours and hours endlessly liking pictures of other people, people who seem happy with their lives and here i am just comparing myself to every one on the internet. I have developed terrible hobbies, that do not seem big but i wish i could get over it, and i have imaginary problems, literally non existant problems but problems that no one would understand. oh i just wish i could really enjoy my life, it feels like i have wasted my entire life, i have no friends and i havent felt a real connection with anyone like i did when i was younger, we have financial problems, yes i know everybody has problems of their own, and i really really hope we all get the mental peace and love that we deserve. Remember you are so so loved, God loves you, your family loves you and I love you.",High
Thank you Got my cat next to me:) I will keep these tips in mind,Low
Yea anyone watching nonsense videos like this cant help but be anything but depressed...,High
"I feel weird, people say don’t commit suicide it’ll hurt others!

What if I want to hurt others? And what if I want to end my pain and make others feel the pain I felt? 

I’m not ok, please help.",High
"THIS HAPPENED TO ME TOO I would study for days, but then when the test came I forgot THE ESSENTIALS and it was so shitty because I did so well when I studied.",Medium
Your videos have literally helped me want to love myself more. I just subscribed! Thank you for being so insiprational and relatable to us girlies who have suffered with depression and anxiety.,Low
What do y’all do when you feel an anxiety attack creeping on?,High
"Thanks dude, finally I got my Ph.D. Your video has accompanied my tough days all this time. Keep strong guys !!",Low
"I resonate really strongly with an uncomfortable amount of this video. I'm a Senior in highschool and I have 100 had the type of 'always push yourself and ignore the bad stuff' kind of mentality. That has resulted in me being class rank 1, but also has felt pretty damn awful a lot of the time. I was listening to the first part of this video and going oh shoot yeah that sounds like something I do.. oh.. oh yeah that makes sense. I have several days where I don't want to get out of bed and just don't want to interact with the world, but that sort of 'surpress your emotions and just get through it until you reach the light at the end of the tunnel' has very much been a driving factor for me. I think the only part that differs for me is that I have an outlet interest to keep me from getting too depressed and an actual concrete light at the tunnel to work towards in the form of playing musical instruments and going to college respectively. In that sense I'm probably more functional than most that this is identifying, but at the same time I definitely notice that emotional suppression having an effect on me a lot of the time and didn't know how or why I just stopped feeling emotions that I used to. It's kinda weird really, like I haven't genuinely cried for any reason in the past several years. Here's hoping once I'm out of highschool and have less expectations and less on my plate then I'll be able to work towards a more healthy state of mind, but at the moment I'm kinda stuck in the grind and just getting through it. Anyways, thank you if you read this far and sorry for the whole paragraph. I just needed to get that out after watching this video.",Medium
"thanks for creating this vedeos without them I could not find the way to study and with the music uff, awesome, Im studying all ww1 for my tomorrow exam wish me luck :D",Low
These are all the reasons except getting bullied why i hate school and have serious school anxiety and i literally have to take pills but i dont cause it changes my hormones and makes me feel tired all day long and i dont have the power to think also i have a lot of friends but they all are fake except one......,Medium
"Suffering from Anxiety+Nostalgic Depression, never felt so tired in my life before :(",High
I love music and vibe it really relaxing.. I am studying AI. I have a 1 liter water bottle with me as I have to stay hydrated..,Low
"I have an exam tomorrow and i was stressed but your comment calm me down thank you,and have a great life wherever you are",Low
"As a nurse of 25yrs, I was plugging along fine before Covidafter being a hospice nurse 6yrs then Covid.2020 the death and dying toll was like being in a war with bare hands. Nurses quit leaving only myself and a male nurse to 300 dying patientsI tried to get counseling and a medical leave and was firedyet they sent me a 10k check. I havent been the same sinceI took time off then returned and agreed to a low patient loadin desperation they hired me, they tried to increase the load, increase the distance and work me later and later each day. I resisted and they simply replaced me, thats happend twice. The thought of going back makes my body ache. I know it be difficult to find something in my field that doesnt exhaust me. Trying to educate ppl on death is like ranking their teeth out and mine too. Ive worked in most setting of my field ppl arent being told the truth about illness and medicine... They are over worked, stressed, eating the processed foods and dont believe in death. Im not sure what I can doI want to tutor nursing students and do health coachingIve taken tiny steps towards that My energy is so limitedthoughts and simple things deplete me. My immune system tanked causing a second round of Covid then I got shingles which no one in my family ever hadI had an iron strong immune system all these years. Lord, help us nurses and the rest of the world.",Medium
I need this thank you a lot,Low
My anxiety makes me want to die. It's never ending. Relentless fear panic. A terrible childhood and decades of abuse has led me to this state. I'm so tired.,High
"I see a LOT of people trying to identify all the problems with being a Dev, which I totally understand as a PM in the tech space. I too fall into the category of workers who are expected to do an increasing number of different jobs, especially in the economy of stressed budgets and Csuite expectations that AI has suddenly made everyone into a superhuman. That said, I can tell you what I do to manage stress when working remote I work out in my office. If I get stuck in a meeting, I'm lifting weights with my camera off, doing kegels, bicycles, Vsits, diamond pushups, legups, onelegged squats, knuckle pushups, or yoga. Every hour I'll make sure to get up and walk around a bit, do a couple sets of exercises. It really helps... and since I first started working remote 5 years ago, I've lost 80 pounds and I'm now getting to be pretty muscular.",Medium
"Sometimes when the stress is too much to handle, I write story. I make up fictional characters, dump my problem on one of them and let there be a mentor who tries to resolve the issue. Yes it sounds crazy but it does help.",Medium
That’s not how anxiety works,High
"With the quint system at my school right now, I have a test in my precalc class every Tuesday. Kind of like constant stress, even on the weekend",Medium
"Hypervigilance is my baseline, I thought everyone was like that because we live in the jungle and we're still animals. I learned to regulate my breathing, logic my way into recognizing if I was justified in my response, or if I'm being irrational, then acting accordingly alongside a couple other things I figured out on my own. I didn't know any of this stuff until around 5 years ago, and at almost 44, I can't imagine being any other way. I didn't get a choice, I was in danger since I was born and my environment has remained somewhat dangerous until later in my life. I would argue the world seems to be on a downward trajectory that my upbringing seems to make me very qualified for. I really wish I could find out what it's like to be more human and less animal because I'm exhausted",Medium
Thanks for the tips for cultivating creativity,Low
"Get organized , write you classes homework everything and plan Time management ,know when to study and when to hangout with friends Maintain healthy social supports and exercise Slow deep breathing and mindful observation Rather than with fear approach it with curiosity, don't run from situations and accept them U know u are feeling like either fear or excitement and u can decide how to approach it its U VS TEST dominate that fucking test u can attempt to stop me but I'd come back and get it right Just focus on the first step in front of you",Medium
true happiness comes from within. we’re depressed because society tells us we have to pay for it,High
"Perfectionism and high standards don't let you show depression. Not even to yourself. You couldn't be so weak as to be depressed, could you? You have to be the strongest, the best, the one that works the most, you can't be depressed, that's only for the weak. Then one day it explodes on you, and you'd better have at least one nice person by your side, otherwise at least I, wouldn't have survived.",High
thank you. I needed to hear this <3,Low
my energy was running out when i clicked this video. thank you for the music! it made me felt more energetic when learning my second term test! hope you have good dreams~!,Low
You are not alone. I just came out of a panic attack. I am so exhausted. I'm so tired of dealing with this.,High
"i usually get perfect scores but last month i got a lot going on for me and i did horribly in my exam. Now, im struggling but these helped clear my mind a bit and motivate me. Thank you so much",Medium
Ty Mel I needed this today been very overwhelmed love you and all your guest,Medium
Would you please do a video on panic disorder,High
I can't get enough sleep cuz I have practice till 10 pm and I get home by 11 pm and get to sleep after like 1115 and then I have to wake up at 6 am to go to school it's basically impossible,Medium
yo im asian and its like from 7am till 1230 am and its just stressing lol,Medium
"Actually, it is quite rational to take on other solvable tasks or as you say active challenges even though on the surface counterintuitive. When depressed, the mind is trying to save energy. The quickest shortcut is the classic overgeneralization fallacy. I can't solve these problems therefore I can't solve any problems which of course is a nonsequitur. A mentally exhausted or overwhelmed mind shifts from some to all to simplify its thinking. But it is that very fallacy that causes the problem. It is not a rational thought but the brain's fuel tank is so low so to speak that it can't fathom more than that. Starting with a simple easily solvable task demonstrates empirically to the rational mind that the conclusion is false and that nothing can be done.",Medium
I really just want to die i am just finding the right timing to die even thought i can die by going outside and find a place to kill myself i already have some places in my mind after all and considering i rarely go outside i am pretty sure they wouldn`t really think i am going to kill myself if i ask to go somewhere saying i just want to check a place or visit xd,High
How do people deal with this who can't exercise? For example a paraplegic or someone with a neurological disorder like primary progressive multiple sclerosis,Medium
"It happens...
I advice you try the use of pyschedelic, they definitely have potential to deal with mental health issues like anxiety and depression",High
Thank you same to u,Low
"On my way to work, I listen to Vivaldi and then Bach. It's so relaxing to start the day with. I get up, put the kettle on for Coffee get washed, brush my teeth, drink a small glass of water, then get my breakfast which is coffee and fruit salad. I do more cooking on the weekend. I do a workout where I use 3 pound weights and do fifty crunches then I read a bible passage. I eat and drink my breakfast, check my email, then make sure that I have my Lunch, Amazon Kindle, and Earpods and then I lock up and go to my bus stop.",Low
Thank you for the ideas.,Low
​came and experience 100%natural rainfall thunder sound.thank you,Low
Espectacular explicacin. Descubr que estoy con un feroz burnout,Medium
"I wanna feel like that so bad.
I wanna feel that I don’t want to die and live forever.",High
People take suicidal thoughts as a joke until the victim commits suicide.,High
playing this while studying my physiology. it means a lot to make my mind at ease thank you so much,Low
"Depression is the leading cause of disability in the world
In the united state, close to 10 percent of adults struggle with depression
But because it’s mental illness, it’s a lot harder to understand to say, high choresterol
A high major source of confusion is the difference between having depression and just feeling depressed
Almost everyone feel down from time to time, getting a  bad grade, losing a job, having an argument, or even a rainy day can bring on a feeling of sadness
Sometimes , there’s no trigger at all
It just pops out of the blue
And the circumstances change and those sad feeling disappear
Clinical depression is different, it’s a medical disorder, and it won’t go away just because you wanted to
It lingers at lease two consecutive weeks
It significantly interfere with one’s ability to work, play or love
Depression can have a lot of different symptoms
A low mood, lost lots of interest in things you normally enjoy
Changing in appetite, feeling worthless and excessively guilty, sleeping either too much or too little, poor concentration, restlessness or snowless, loss of energy, recurrent thoughts of suicide , if you have at least five of those symptoms, according to psychiatric guildelines, you qualify a diagnosis of depression
It's not just behavioral symptoms, depression has physical manifestations inside the brain",High
We need moree like these videos..sooo relaxing! I really enjoyed it! Waiting for moree,Low
I love turkey too...its a peaceful country...but i have never there...,Low
"Others have mentioned this, but my experience of burnout has always been from feeling like my work didnt matter or that I was stuck in a loop of maintaining tech debt.",Medium
Thank you so much for this video. I think I finally understand why I've been feeling more and more overwhelmed recently at work. I'm going to take your advice and try to challenge myself in other areas to create a better mindset for myself.,Medium
Depression is when your mind is in the past anxiety is when your mind is in the future seeing worst case scenarios. I had a severe circumstantial anxiety condition recently which made me feel suicidal. I received help with temporary medication and counseling and have recovered. My counsellor diagnosed the issue was related to experiences in my youth. Mental illness is like physical illness you will get better. You must keep yourself in the present. You must be conscious of your mental health and seek help if you need it. Men are the worst offenders in not seeking help.,High
thanks for the video...i am studying history,Low
Damn I didnt know how badly I needed this video before watching through. Literally checked all the boxes for signs of stress,Medium
"Rob M they can last for as long as they want to, that’s happened to me before. I’ve have panic last from a couple seconds to a couple hours. Feel better",High
"You arr not alone finances, peer, family, cdemic. Many types of stress mental stress academic stress, social stress, stress of daily life. A few foundations to stick to organization properly, put into calender, get everything organized. Time management, intense and focused work at time when you are productive. Experiment and find out your time. Exercise, maintain social supports and connections with friends. Targeted strategies slow, deep breathing, mindfulness. Watch the pain, rather than reject and ignore it. Try to hold emotions. Observe bodily response. Manageable steps, one step can take today to be closer to the final goal",Medium
"This only works if I have no job, education or social life. The second I stop staying at home and being peaceful, the stress comes back",Medium
0047 washing dishes 0148 cuddling hugging and holding hands 0224 make good posture a habit 0316 view stress as a challenge 0421 meditate 0520 go to bed on time Hope this helped thanks a lot psych2go,Medium
I like your new garden. Thanks for the video.,Low
"Winded Again “I do not like flowers” Claudia said as her assistant placed the peonies into a dusty vase. His hands stilled. –“Oh. I just thought the room looked too bare and strict” he looked disappointed? Claudia did not have the heart to correct him that a professor’s office should look strict and instead said “I am sensitive to smell. It’s nothing else really” He lit up at that, a smile playing at his lips –“That can be fixed.” Claudia did not know what he’d meant but she’d find out soon enough as the next day he held up a small clear plastic bag. Upon closer inspection they were dried flower petals; the plastic bag was zip locked air tight and no scent got out. She looked up to see a pair of lilac eyes looking at her expectantly, an eyebrow timidly quirked up so she gave a small nod. She watched as her assistant lit up and fiddled about, his shoulder length hair billowing gently and finally decided to hang them right above the window; “So they’d give the impression of spreading their scent while blowing against the window” If Claudia’s lips twitched at that she hid it while lowering her head and returned to checking assignments. She allowed herself to grow a little fond of her assistant. After all, he was a great teaching assistant. twitter: @julyswillow",Low
THANK YOU HALLE!!,Low
Thank you so much for doing these videos! You're a lifesaver.,Low
due to your videos I can concentrate on my homework thank you!,Low
"So true, often people with phobia about dogs don't realise they have an anxiety disorder",High
Thank you Zeliha sister for this great motivation video. Wish you all the best,Low
Thank you I love you too,Low
I have an anxiety disorder and panic disorder so recently like within the last year i’ve started getting more and more panic attacks like i used to when i was younger but now i know what i was having before were panic attacks. i have been to the ER for panic attacks twice before and even with the panic attacks i had when i was younger they were never at the point where i would say i needed to go to the hospital or ask to go to the hospital. i felt like i was hyperventilating and going to faint and die and i get so shaky my whole body tenses up and i even feel sick which is my number one phobia which makes it worse. if i don’t have my medication on me it can last on and off for an hour maybe 2 at most but i always need to have my panic meds on me so i can take it right away as soon as i feel a panic attack coming on. all that you were saying is totally true so thank you for teaching people what panic attacks are and how to recognize them,High
"Brooke Willoughby. You where anxious. Scared. So you cried. I do the same. I have a panic attack and crawl into a corner or hide in my bed and cry, and cry, and cry....... and cry.. and cry. I'd cry alot.",High
Nobody's Probably gonna read this Because this I just Uploaded this Comments If somebody does Well then Have a nice day,Low
I want to thank you:) this is so so so useful for me,Low
"The majority of my panic attacks are nocturnal. I wake up already in a full blown panic attack. I don't have enough time yet to be fully conscious and aware but definitely the high alert and feeling of there never being enough oxygen to get in my lungs ever again has caused me to run outside and take anything restrictive on my chest keeping the breath from getting all the way in my lungs(shirt, bra) off and all whole frantically running around with numb and tingly lips and arms/hands/fingers. Once my good thinking brain kicks in and I'm able to start to be a little more rational I am able to see what happened from the outside. I am then horrible embarrassed and it just feels dreadful. I don't like sleeping because of this.",High
"This was hella confusing. Dr k I love you bcz you're Amazing! the way you speak to my deficits the way you get me is again Amazing!! but ALL these videos are 2 hrs of explanations with 5 minutes of solutions, if any. Need solutions problem solving with steps examples!!",Medium
"I mean, i just hate tests. My mom makes me rewrite the whole lesson until i get it, right and she told me if i get 1620 or lower, ima get grounded and now im even more stressed then befor and ihave a geography test the worst type of tests. Im pretty good a math tests i dont get that stressed on a math test",Medium
this means a lot to me! thank you so much!,Low
"I really like the vibe of the music and the content. It is interesting taking small breaks in between. I feel calm and relaxed when I start back up again. Right now, I am doing some editing and retyping on a project.",Low
